"ntd_id","agency","incident_description","mode","type_of_service","rail_bus_ferry","fixed_route_flag","year","incident_number","incident_date","incident_time","event_type","runaway_train_flag","safety_security","collision_with","property_damage","property_damage_type","total_injuries","total_fatalities","derailment_type","number_of_transit_vehicles","towed_y_n","number_of_vehicles_involved","number_of_derailed_cars","event_location","approximate_address","longitude","latitude","evacuation_comment","self_evacuation_y_n","evacuation_location","hazmat_type","hazmat_type_description","fire_type","fire_fuel","other_fire_fuel_description","weather","lighting","current_condition","tide","road_config","configuration","path_condition","rail_alignment","rail_grade_crossing_control","right_of_way_condition","intersection","service_stop_control_device","intentional_y_n","vehicle_action","action_type","transit_y_n","fuel_type","vehicle_speed","non_rail_transit_vehicle","manufacturer","manufacturer_description","other_involved_veh","other_vehicle_action","transit_vehicle_rider","people_waiting_or_leaving","transit_vehicle_operator","transit_employee_fatalities","other_worker_fatalities","bicyclist_fatalities","pedestrian_in_crosswalk","pedestrian_not_in_crosswalk","pedestrian_crossing_tracks","pedestrian_walking_along","occupant_of_other_vehicle","other_fatalities","suicide_fatalities","transit_vehicle_rider_injuries","transit_vehicle_rider_serious","people_waiting_or_leaving_1","people_waiting_or_leaving_2","transit_vehicle_operator_1","transit_vehicle_operator_2","transit_employee_injuries","transit_employee_serious","other_worker_injuries","other_worker_serious_injuries","bicyclist_injuries","bicyclist_serious_injuries","pedestrian_in_crosswalk_1","pedestrian_in_crosswalk_2","pedestrian_not_in_crosswalk_1","pedestrian_not_in_crosswalk_2","pedestrian_crossing_tracks_1","pedestrian_crossing_tracks_2","pedestrian_walking_along_1","pedestrian_walking_along_2","occupant_of_other_vehicle_1","occupant_of_other_vehicle_2","other_injuries","other_serious_injuries","suicide_injuries","suicide_serious_injuries","person_list"
"20100","MTA Long Island Rail Road","engineer states that she saw the deceased leap head first into the path of the train .","CR","DO","Rail","true","2009","1027607","2009-04-16","17:29:09","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Revenue facility: transit station","Bellmore Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Wait Leave Senior Citizen (61 and up) M"
"20100","MTA Long Island Rail Road","Female observed walking past the north side lowered gate and stand between the running rails of < REDACTED > . Female ran towards the front of the train and looked as she was rolling her body towards train .. made no attempt to move from train path .","CR","DO","Rail","true","2009","1027614","2009-05-01","18:03:17","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Non-revenue facility","New Hyde Park Rd. & Main",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Xing Tracks Adult (19 to 60) F"
"20100","MTA Long Island Rail Road","Aided jumped into the track bed from the platform in front of approaching train and made no attempt to evade the oncoming train .","CR","DO","Rail","true","2009","1027667","2009-05-12","07:11:07","Suicide",,"SEC",,,,"1","0",,"0","N","0",,"Revenue facility: transit station","Hicksville Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","I   Wait Leave Adult (19 to 60) M"
"20100","MTA Long Island Rail Road","victim observed sitting on the third rail protection cover with his hands over his face .. made no attempt to avoid oncoming train .","CR","DO","Rail","true","2009","1027695","2009-05-24","22:59:19","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Other","5th Avenue/Main",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Other Adult (19 to 60) M"
"20100","MTA Long Island Rail Road","Subject jumped in front of the approaching east bound train .","CR","DO","Rail","true","2009","1027702","2009-06-13","12:06:35","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Non-revenue facility","Peconic Ln/Main",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Walking Tracks Adult (19 to 60) M"
"20100","MTA Long Island Rail Road","Male observed bent over the running rail of track one , male did not many any attempt to move as train approached .","CR","DO","Rail","true","2009","1027803","2009-07-09","23:56:50","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Revenue facility: transit station","Great Neck Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Wait Leave Senior Citizen (61 and up) M"
"20100","MTA Long Island Rail Road","Male observed crouched over the third rail protective board , and as the train approached engineer sounded horn , the male looked at train but made no attempt to move .","CR","DO","Rail","true","2009","1027809","2009-07-12","06:27:03","Suicide",,"SEC",,,,"1","0",,"0","N","0",,"Other","Huntington Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","I   Other Adult (19 to 60) M"
"20100","MTA Long Island Rail Road","Male observed walking eastward on the platform as the train appraoched . When the train was close male turned and intentionally jump in the immediate path of train .","CR","DO","Rail","true","2009","1027812","2009-07-31","12:50:49","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Revenue facility: transit station","Rockville Centre Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Wait Leave Adult (19 to 60) M"
"20100","MTA Long Island Rail Road","Male observed standing next to the edge of platform , engineer blew the horn , but the male jumped feet first in front of the train .","CR","DO","Rail","true","2009","1027819","2009-08-27","13:47:20","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Revenue facility: transit station","Amityville Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Wait Leave Teen (13 to 18) M"
"20100","MTA Long Island Rail Road","victim lying on < REDACTED > jumped from overpass .","CR","DO","Rail","true","2009","1027823","2009-09-25","00:25:19","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Non-revenue facility","Great Neck Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Other Adult (19 to 60) F"
